RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Bow,NH,Concord,Merrimack,4621,308500,310000,310000,299999,299900,309000,303450,319900,312000,316950,314450,309900,309504.0833,,,
Bradford,NH,Concord,Merrimack,6593,,,274900,274900,274900,269950,255000,245000,234900,234900,229900,229900,252425,,,
Concord,NH,Concord,Merrimack,1077,208450,219900,219950,224900,225900,219900,224500,224900,229950,230400,230900,233900,224462.5,,,
Franklin,NH,Concord,Merrimack,4345,171400,169900,174900,169925,169900,174200,174200,170000,169900,169450,164900,165000,170306.25,,,
Hopkinton,NH,Concord,Merrimack,6201,,,,345000,339000,315000,315000,292450,294900,299900,292450,324900,313177.7778,,,
New London,NH,Concord,Merrimack,5648,384900,395000,425000,412000,429000,429000,399000,382000,390000,405500,399900,432000,406941.6667,,,
Newbury,NH,Concord,Merrimack,6472,,,,,299000,291500,316500,296500,289500,285000,285000,329000,299000,,,
Town of Hooksett,NH,Concord,Merrimack,3194,284900,300600,299900,299900,299900,295000,309900,310500,313200,295000,314900,323195,303907.9167,,,
Connersville,IN,Connersville,Fayette,2198,,,,,,,74900,73200,69900,69900,69900,59900,69616.66667,,,
Cookeville,TN,Cookeville,Putnam,1573,209900,207450,210000,219000,229000,209900,2.00E+05,214700,219900,218464.5,224000,224900,215601.2083,,,
Monterey,TN,Cookeville,Putnam,5081,,,,,,,204900,218750,204900,194500,192000,184900,199991.6667,,,
Bandon,OR,Coos Bay,Coos,6002,343500,344500,340000,352950,355000,354000,360000,362500,369450,369900,369450,369000,357520.8333,,,
Coos Bay,OR,Coos Bay,Coos,1965,189900,199000,194000,193900,199000,199000,205000,204900,205000,205000,209000,211450,201262.5,,,
Coquille,OR,Coos Bay,Coos,5191,182450,189000,175000,179900,194500,204000,204000,209000,189250,199250,198250,177450,191837.5,,,
Lakeside,OR,Coos Bay,Coos,6978,195000,189500,194000,212500,210000,215000,209500,220000,217500,199000,179500,172250,201145.8333,,,
Myrtle Point,OR,Coos Bay,Coos,6336,159750,159500,144950,148950,139400,148000,139950,142500,145000,145000,157500,169500,150000,,,
North Bend,OR,Coos Bay,Coos,3339,215000,220000,239250,239900,239900,244500,239000,240000,243000,229950,244750,225000,235020.8333,,,
Cordele,GA,Cordele,Crisp,2369,199000,202750,197900,192000,194000,190000,179900,173250,172500,174000,172500,175750,185295.8333,,,
Corinth,MS,Corinth,Alcorn,1749,149950,139900,145950,144500,139900,149250,149500,149250,145000,148750,145000,149000,146329.1667,,,
Clarkesville,GA,Cornelia,Habersham,4362,,,,,,319900,324900,329500,324900,337730,329700,324900,327361.4286,,,
Cornelia,GA,Cornelia,Habersham,3926,147400,149900,144750,142700,149450,159900,152900,157400,164450,159400,174900,159900,155254.1667,,,
Demorest,GA,Cornelia,Habersham,6304,184500,174900,177400,179900,172400,167850,169900,169900,165000,178700,187400,187200,176254.1667,,,
Hornell,NY,Corning,Steuben,4340,,,,,,,,64900,67400,64900,66200,64900,65660,,,
Town of Bath,NY,Corning,Steuben,3585,115000,117700,117700,119200,126750,128500,118500,117450,115000,118900,118950,116450,119175,,,
Town of Corning,NY,Corning,Steuben,3026,118000,116000,114950,115100,126900,122450,132000,139900,132000,126700,124450,124900,124445.8333,,,
Aransas Pass,TX,Corpus Christi,San Patricio,4307,184000,181999.5,179900,184000,184000,185000,185000,181950,169000,169500,171700,170850,178908.2917,,,
Corpus Christi,TX,Corpus Christi,Nueces,57,199000,199000,209900,209900,209900,208450,209900,204900,204900,205000,204000,206000,205904.1667,,,
Ingleside,TX,Corpus Christi,San Patricio,4739,136900,142400,142800,139900,139850,139900,139900,139800,144400,151200,147995,151450,143041.25,,,
Port Aransas,TX,Corpus Christi,Nueces,6092,365000,369000,365000,385000,379900,369000,369000,369700,382450,379000,379000,367000,373254.1667,,,
Portland,TX,Corpus Christi,San Patricio,2926,215000,216250,225450,220500,234700,234900,226107.5,212000,212000,229135,228500,222950,223124.375,,,
Rockport,TX,Corpus Christi,Aransas,3314,249000,249500,264900,269000,279000,269000,267750,279900,287900,281100,274950,279700,270975,,,
Corsicana,TX,Corsicana,Navarro,2672,124900,127000,129900,129900,132200,129900,132900,131400,131400,139900,143000,128500,131741.6667,,,
Cortland,NY,Cortland,Cortland,2392,89900,89900,103000,104950,106450,105000,104675,99900,99900,104675,104900,107500,101729.1667,,,
Corvallis,OR,Corvallis,Benton,654,345000,355945,350000,339700,339000,340000,339000,345000,350000,349350,347250,350000,345853.75,,,
Coshocton,OH,Coshocton,Coshocton,3133,,,,,,,114900,114900,99900,99900,95500,81200,101050,,,
Craig,CO,Craig,Moffat,3548,184950,184500,179900,180000,179450,175000,174900,175000,178900,170000,164900,154900,175200,,,
Crawfordsville,IN,Crawfordsville,Montgomery,2071,97450,104900,114500,115450,119000,119900,119900,126000,127450,120000,119900,123000,117287.5,,,
Crescent City,CA,Crescent City,Del Norte,2555,225000,225000,210000,224900,219000,225000,232475,235000,245000,239500,235000,225000,228406.25,,,
Baker,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,6357,246900,239900,239900,238450,240000,237734,239393.5,230850,231700,222500,215000,234987,234776.2083,,,
Crestview,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,1132,167875,165000,169900,180000,188950,189900,180900,179900,179900,179850,179947.5,182450,178714.375,,,
Destin,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,3501,510000,519000,525000,549450,538000,536500,539000,507750,525000,535000,537000,545000,530558.3333,,,
Fort Walton Beach,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,3526,189700,187500,192200,180945,189950,187000,183000,189000,192500,169900,189750,187000,186537.0833,,,
Freeport,FL,Crestview-Fort Walton Beach-Destin,Walton,6409,254320,265000,269000,252450,252990,269900,269000,269450,266900,263990,266635,264990,263718.75,,,
Mary Esther,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,4989,189424,185000,185000,174900,185000,189900,198400,189450,195900,202487.5,194900,214900,192105.125,,,
Miramar Beach,FL,Crestview-Fort Walton Beach-Destin,Walton,6113,418000,419000,415000,415000,399500,405000,425000,424900,429000,419900,429700.5,430000,419166.7083,,,
Niceville,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,2201,309900,294900,304900,312450,305000,299900,299900,299900,294900,299900,289500,295950,300591.6667,,,
Santa Rosa Beach,FL,Crestview-Fort Walton Beach-Destin,Walton,4859,639990,675000,678285,654000,699000,724500,744000,725000,752500,771500,774000,775000,717731.25,,,
Shalimar,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,5471,279000,277000,274950,275000,291950,275750,291950,321950,322350,299950,298249,293500,291799.9167,,,
Wright,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,2405,166650,174900,179600,179600,174900,176250,185000,179450,172400,168000,170890,168540,174681.6667,,,
Crossville,TN,Crossville,Cumberland,1035,169900,173750,174900,175000,179000,178500,172450,169900,179900,179500,178900,173000,175391.6667,,,
Cullman,AL,Cullman,Cullman,4536,149900,139900,144900,152000,149900,150000,157450,170950,179900,184900,174900,176900,160966.6667,,,
Cashiers,NC,Cullowhee,Jackson,7080,599000,599000,599000,654000,674500,644950,599000,577000,629000,650000,649500,649500,627037.5,,,
Glenville,NC,Cullowhee,Jackson,7004,399000,395000,395000,395000,429900,429900,439450,429900,429900,399999,429900,452450,418783.25,,,
Sapphire,NC,Cullowhee,Jackson,6810,369000,325000,372000,369000,355000,369000,369000,355000,352775,350000,357450,359000,358518.75,,,
Sylva,NC,Cullowhee,Jackson,3380,199825,199000,216450,215000,219900,209000,209000,199250,199000,202500,210000,209949.5,207406.2083,,,
Tuckasegee,NC,Cullowhee,Jackson,6995,275000,259500,259500,250000,269000,275000,275000,277250,265000,275000,276500,276500,269437.5,,,
Whittier,NC,Cullowhee,Jackson,6045,188450,187000,184900,179900,187000,189000,189000,189500,189450,199250,198900,196625,189914.5833,,,
Cumberland,MD,Cumberland,Allegany,1135,89500,89900,98950,99900,104900,104900,99900,99900,99900,99500,99500,95000,98479.16667,,,
Keyser,WV,Cumberland,Mineral,4556,119900,118000,119500,122450,124900,132500,133900,135000,129900,129450,125000,125000,126291.6667,,,
Addison,TX,Dallas-Fort Worth,Dallas,4421,319250,316950,299900,299200,332500,335000,329850,322450,325000,330000,369900,369900,329158.3333,,,
Allen,TX,Dallas-Fort Worth,Collin,413,387300.5,366950,379900,388250,389949.5,384990,377995,375000,369000,370000,369900,369945,377431.6667,,,
Anna,TX,Dallas-Fort Worth,Collin,3840,199900,199900,199900,209250,214445,220000,215000,214900,218250,245057,248750,249000,219529.3333,,,
Arlington,TX,Dallas-Fort Worth,Tarrant,49,189900,179000,179900,184825,189000,189900,190000,190000,189650,189000,189000,189900,187506.25,,,
Azle,TX,Dallas-Fort Worth,Tarrant,5124,186200,203000,195000,194125,212500,199250,231575,216500,214900,224900,211790,219450,209099.1667,,,
Balch Springs,TX,Dallas-Fort Worth,Dallas,1926,,,,117500,119900,127450,120000,124500,124500,124900,117000,125000,122305.5556,,,
Bedford,TX,Dallas-Fort Worth,Tarrant,1014,209900,210000,219900,232900,230000,229450,230000,229000,225000,237500,237500,237000,227345.8333,,,
Benbrook,TX,Dallas-Fort Worth,Tarrant,2330,246250,217800,224900,219900,222500,225000,219900,217900,206250,225000,219500,209000,221158.3333,,,
Burleson,TX,Dallas-Fort Worth,Johnson,1434,206990,202990,202990,197997.5,196995,199999,199994.5,199900,204990,207995,219000,219000,204903.4167,,,
Carrollton,TX,Dallas-Fort Worth,Denton,246,258370,256375,269000,259700,259250,269250,264000,259900,259945,264950,269000,269990,263310.8333,,,
Cedar Hill,TX,Dallas-Fort Worth,Dallas,1171,172500,174100,170000,176900,186000,180000,179950,189900,185000,190000,187900,189900,181845.8333,,,
Celina,TX,Dallas-Fort Worth,Collin,6234,334990,350990,369900,359900,371788,374616,376204,376490,371819,374990,413442.5,423387,374876.375,,,
Cleburne,TX,Dallas-Fort Worth,Johnson,1951,109500,119900,117000,120000,129900,129900,134950,143000,143950,139900,139900,137900,130483.3333,,,
Colleyville,TX,Dallas-Fort Worth,Tarrant,2065,621900,625000,617000,614497.5,627400,622900,627000,632995,605447.5,599900,609900,611995,617994.5833,,,
Coppell,TX,Dallas-Fort Worth,Dallas,1356,468000,469450,461000,439900,458117,458117,449950,458222,469000,464450,465000,459000,460017.1667,,,
Corinth,TX,Dallas-Fort Worth,Denton,2801,263900,265000,270675,260000,264900,265000,257000,244900,244900,249900,249900,251499.5,257297.875,,,
Crandall,TX,Dallas-Fort Worth,Kaufman,6124,159950,172400,170000,178500,179000,182000,185000,194745,197690,209900,219990,219990,189097.0833,,,
Crowley,TX,Dallas-Fort Worth,Tarrant,4182,149900,157475,165000,165000,159999,163495,174187.5,174250,181000,175000,178900,188500,169392.2083,,,
Dallas,TX,Dallas-Fort Worth,Dallas,10,316000,327353,350000,363075,367500,369000,374900,360000,369250,368000,369000,350000,357006.5,,,
Decatur,TX,Dallas-Fort Worth,Wise,3292,236825,238750,254900,262000,277450,295000,301577.5,304999,319900,323900,334900,329900,290008.4583,,,
Denton,TX,Dallas-Fort Worth,Denton,264,248995,246900,253990,259900,260000,259900,254900,260000,259900,267995,266500,266745,258810.4167,,,
Desoto,TX,Dallas-Fort Worth,Dallas,1056,174900,173445,182900,183900,185000,185000,175900,175000,180000,186500,191250,184400,181516.25,,,
Duncanville,TX,Dallas-Fort Worth,Dallas,1306,149900,148450,149900,150000,153000,150000,140000,142000,140000,149900,147500,155000,147970.8333,,,
Fate,TX,Dallas-Fort Worth,Rockwall,6228,229990,225000,252990,235000,235375,244995,245000,258990,272000,281035,266990,252950,250026.25,,,
Flower Mound,TX,Dallas-Fort Worth,Denton,618,466388,448388,448760,440765,429830.5,437209.5,439000,450000,449000,469000,458000,474900,450936.75,,,
Forney,TX,Dallas-Fort Worth,Kaufman,4582,195900,189000,195449.5,190900,192900,199000,199900,2.00E+05,219950,224900,223900,223445,204603.7083,,,
Fort Worth,TX,Dallas-Fort Worth,Tarrant,16,190000,189900,195000,199900,204450,210000,213000,214900,212000,215000,215000,212990,206011.6667,,,
Frisco,TX,Dallas-Fort Worth,Collin,244,475990,474990,475000,474122,468500,450000,457500,468785,474900,479000,479905,495900,472882.6667,,,
Garland,TX,Dallas-Fort Worth,Dallas,94,160000,160000,161950,164450,179000,178000,178250,183000,181000,184947.5,185000,185000,175049.7917,,,
Godley,TX,Dallas-Fort Worth,Johnson,6196,274950,274950,282450,271450,288800,284900,279950,293890,289900,293000,290450,299900,285382.5,,,
Granbury,TX,Dallas-Fort Worth,Hood,1096,244900,249975,250000,255450,259999.5,258875,256000,252900,256500,256650,249900,249900,253420.7917,,,
Grand Prairie,TX,Dallas-Fort Worth,Dallas,155,193100,189900,195000,191000,199900,205000,205000,201500,209100,209894,215000,214900,202441.1667,,,
Grapevine,TX,Dallas-Fort Worth,Tarrant,1143,413000,389000,379900,349450,334950,339900,339900,344900,350000,369900,382450,386000,364945.8333,,,
Greenville,TX,Dallas-Fort Worth,Hunt,1529,124999.5,128500,128000,125000,129900,144050,159450,157900,149990,149900,148950,153000,141636.625,,,
Haltom City,TX,Dallas-Fort Worth,Tarrant,1124,104450,117000,119900,119900,129500,124950,135000,134950,131500,135000,141250,148750,128512.5,,,
Heath,TX,Dallas-Fort Worth,Rockwall,6728,615000,612400,577500,573850,524246,549900,598470,599000,570000,538750,526750,495000,565072.1667,,,
Hickory Creek,TX,Dallas-Fort Worth,Denton,6500,,,420990,353363.5,349900,325662,325326,324990,320495,316495,316990,322050,337626.15,,,
Highland Park,TX,Dallas-Fort Worth,Dallas,4280,,,,,2195000,2095000,1999000,1999999,1999000,1999500,2149500,2200000,2079624.875,,,
Highland Village,TX,Dallas-Fort Worth,Denton,3002,429900,412464.5,412464.5,409500,399900,395000,369900,386000,369900,369900,360550,375450,390910.75,,,
Hurst,TX,Dallas-Fort Worth,Tarrant,1317,185000,180950,189000,199950,214925,217000,198200,194450,199900,201500,2.00E+05,217000,199822.9167,,,
Irving,TX,Dallas-Fort Worth,Dallas,105,,,332900,339450,331500,345000,330200,330250,339000,349900,329250,339900,336735,,,
Joshua,TX,Dallas-Fort Worth,Johnson,6704,223457,219610.5,218900,218000,211370,226593,219900,219475,218000,225950,246950,255000,225267.125,,,
Keller,TX,Dallas-Fort Worth,Tarrant,1638,470000,460000,450000,445000,442000,450000,449000,442494.5,450000,438750,434925,424999,446430.7083,,,
Kennedale,TX,Dallas-Fort Worth,Tarrant,5346,275000,317450,329500,313000,277500,267950,291999.5,291499.5,284900,272125,277450,272125,289208.25,,,
Lancaster,TX,Dallas-Fort Worth,Dallas,1245,125450,128950,132450,139250,139995,140000,137650,140000,144900,145000,145000,145650,138691.25,,,
Lantana,TX,Dallas-Fort Worth,Denton,4844,402000,409990,409995,418500,419745,429738.5,438750,435495,435000,463990,449000,437794.5,429166.5,,,
Lewisville,TX,Dallas-Fort Worth,Denton,322,295070,315000,299975,299900,299500,289700,270000,274450,284000,289900,294950,314562.5,293917.2917,,,
Little Elm,TX,Dallas-Fort Worth,Denton,1275,286390,285000,275000,275000,274937.5,277866,282900,280000,285790.5,295000,294990,3.00E+05,284406.1667,,,
Lucas,TX,Dallas-Fort Worth,Collin,5600,718058.5,750000,748919,699000,699900,698558.5,690656,693078,719500,718245,725000,729900,715901.25,,,
Mansfield,TX,Dallas-Fort Worth,Tarrant,755,264900,260000,270000,264900,264900,259000,265000,269900,275000,279950,278950,272375,268739.5833,,,
McKinney,TX,Dallas-Fort Worth,Collin,214,350000,329995,333127.5,325000,325000,325000,325000,329900,338995,353990,349999.5,357610,336968.0833,,,
Melissa,TX,Dallas-Fort Worth,Collin,6120,295990,299950,309000,309000,299900,299900,299945,310000,312400,342490,313945,317445,309163.75,,,
Mesquite,TX,Dallas-Fort Worth,Dallas,211,125000,132500,137900,135000,140000,144000,148000,149450,145900,146497.5,149900,150000,142012.2917,,,
Midlothian,TX,Dallas-Fort Worth,Ellis,2691,284201,297000,299900,294900,299832,292990,290170,289995,299900,310503,317900,320945,299853,,,
Murphy,TX,Dallas-Fort Worth,Collin,3024,412500,399450,397950,419250,414900,417000,399900,409900,4.00E+05,393875,390000,399900,404552.0833,,,
North Richland Hills,TX,Dallas-Fort Worth,Tarrant,764,229950,249000,250000,244500,250000,258500,256500,249925,265000,259900,259900,264900,253172.9167,,,
Northlake,TX,Dallas-Fort Worth,Denton,6096,380670,404780,399780,400075,387995,390000,402497,396547.5,379990,412522.5,382115,379990,393080.1667,,,
Pecan Acres,TX,Dallas-Fort Worth,Tarrant,6402,494950,474999,494950,534000,515000,549900,549000,522500,519875,509825,507500,519900,516033.25,,,
Plano,TX,Dallas-Fort Worth,Collin,71,325000,325000,349900,355000,355000,359000,360000,359000,357629,365450,375000,379000,355414.9167,,,
Princeton,TX,Dallas-Fort Worth,Collin,4674,193900,196500,198000,197995,202900,203900,203900,199900,197900,203900,203900,199900,200216.25,,,
Prosper,TX,Dallas-Fort Worth,Collin,4640,495000,520470,517098.5,5.00E+05,512500,515000,536414.5,526495,517700,510490,530990,527907,517505.4167,,,
Red Oak,TX,Dallas-Fort Worth,Ellis,4261,215000,219000,216140,204000,209635,225000,225000,216000,210000,220000,220000,209900,215806.25,,,
Richardson,TX,Dallas-Fort Worth,Dallas,346,275000,275000,293500,299250,299900,299999,288250,290000,299999,290000,299000,299900,292483.1667,,,
Rockwall,TX,Dallas-Fort Worth,Rockwall,1686,285000,282990,296990,299999,317995,310000,303990,314900,3.00E+05,324900,325000,299900,305138.6667,,,
Rowlett,TX,Dallas-Fort Worth,Dallas,1173,259990,245000,239900,237000,247900,254950,259900,265000,259000,267250,249999,255000,253407.4167,,,
Royse City,TX,Dallas-Fort Worth,Rockwall,2699,213601,189950,199450,209450,212450,219900,220495,229900,226945,239900,235500,257995,221294.6667,,,
Sachse,TX,Dallas-Fort Worth,Dallas,2588,325000,364490,366490,368995,349000,346990,354995,359000,357490,372990,358495,365110,357420.4167,,,
Saginaw,TX,Dallas-Fort Worth,Tarrant,2128,199500,195000,212990,216593,2.00E+05,183250,186000,191200,186450,211000,209500,214950,200536.0833,,,
Sanger,TX,Dallas-Fort Worth,Denton,3245,200625,204900,215000,215000,208900,201562.5,202580,205900,215352,227900,229900,231900,213293.2917,,,
Seagoville,TX,Dallas-Fort Worth,Dallas,3372,157990,163990,159990,154495,147300,140900,148350,146000,152450,146000,148475,142000,150661.6667,,,
Southlake,TX,Dallas-Fort Worth,Tarrant,1944,795000,825000,785900,815000,750000,749000,723995,7.00E+05,749000,755000,750000,740997.5,761574.375,,,
Sunnyvale,TX,Dallas-Fort Worth,Dallas,7040,450495,452990,454000,459000,455000,466900,466900,475000,449950,466900,466900,456900,460077.9167,,,
Terrell,TX,Dallas-Fort Worth,Kaufman,1732,174900,179950,179000,186900,189900,189000,189900,189450,194900,191990,190945,175000,185986.25,,,
The Colony,TX,Dallas-Fort Worth,Denton,1333,,,,,,,,361599,379500,407840,384000,395995,385786.8,,,
Trophy Club,TX,Dallas-Fort Worth,Denton,6136,485995,524900,525000,532000,5.00E+05,5.00E+05,485483.5,499000,550599,554698,549500,539000,520514.625,,,
University Park,TX,Dallas-Fort Worth,Dallas,2060,1454000,1439000,1412500,1450000,1450000,1494500,1397000,1395000,1489000,1525000,1450000,1425000,1448416.667,,,
Watauga,TX,Dallas-Fort Worth,Tarrant,2109,127000,129900,129900,134925,140000,145000,149975,150000,148500,149900,148450,149999.5,141962.4583,,,
Waxahachie,TX,Dallas-Fort Worth,Ellis,1259,233500,219000,220699,213179,214179,220000,221581,221081,219450,215000,225000,225000,220639.0833,,,
Weatherford,TX,Dallas-Fort Worth,Parker,2067,215495,239000,226000,232950,235900,218990,218990,215990,218990,215990,222490,235450,224686.25,,,
Wylie,TX,Dallas-Fort Worth,Collin,1364,265990,275000,295495,284997,280862,265000,250000,250000,254271,260000,264900,259900,267201.25,,,
Dalton,GA,Dalton,Whitfield,474,134900,129949.5,132900,132900,134900,132000,137000,137000,139000,139900,139900,139500,135820.7917,,,
Rocky Face,GA,Dalton,Whitfield,4713,139900,159900,154450,164950,160000,165900,158900,165900,162900,163900,169900,163900,160875,,,
Tunnel Hill,GA,Dalton,Whitfield,5220,124700,119900,117900,115450,121450,122500,122000,129000,117250,131400,133900,132900,124029.1667,,,
Chatham,VA,Danville,Pittsylvania,4901,140000,119900,120450,119950,126400,129000,128900,134900,134900,130000,129900,129900,128683.3333,,,
Danville,VA,Danville,Danville City,795,,,93300,92500,93900,95900,93900,93300,95225,95225,95450,99000,94770,,,
Danville,IL,Danville,Vermilion,1118,63750,65000,69900,67500,68500,65000,67500,69900,68500,65000,59900,55000,65454.16667,,,
Danville,KY,Danville,Boyle,2111,149900,164900,157000,167500,173950,173950,179900,179950,179000,177000,174500,173900,170954.1667,,,
Hoopeston,IL,Danville,Vermilion,5187,57500,55000,54700,54700,57000,55750,59500,59000,59700,56950,54700,57450,56829.16667,,,
Stanford,KY,Danville,Lincoln,3683,124900,122500,119900,119450,115400,114900,114500,114950,114950,117450,119900,124900,118641.6667,,,
Bay Minette,AL,Daphne,Baldwin,3327,159000,159900,155500,159900,159900,154450,169000,160000,159900,149950,165238.5,163500,159686.5417,,,
Daphne,AL,Daphne,Baldwin,2301,215244,219000,215000,218430,215000,224500,225000,229115.5,229900,230000,230417.5,225000,223050.5833,,,
Elberta,AL,Daphne,Baldwin,6389,345500,345500,338500,345500,289000,316000,330000,330000,320900,289000,295250,333300,323204.1667,,,
Fairhope,AL,Daphne,Baldwin,1724,299900,335000,350000,334360,334950,335680,349000,359450,359000,369900,364200,368950,346699.1667,,,
Foley,AL,Daphne,Baldwin,2476,178500,176440,179000,179900,179950,183150,182950,180414,190855,199000,194900,194900,184996.5833,,,
Gulf Shores,AL,Daphne,Baldwin,3859,299900,310000,299000,299000,299000,299000,319000,319995,319000,309900,309000,299949.5,306895.375,,,
Lillian,AL,Daphne,Baldwin,6356,191950,189000,191950,189450,184500,194000,195000,204300,222000,214000,209700,209700,199629.1667,,,
Loxley,AL,Daphne,Baldwin,4580,203900,189000,199900,189250,191481,199949.5,197900,199450,199950,199900,199900,192400,196915.0417,,,
Orange Beach,AL,Daphne,Baldwin,6009,439950,449000,450000,459900,459900,459000,460000,459000,459000,449450,449000,469250,455287.5,,,
Robertsdale,AL,Daphne,Baldwin,3693,164450,151225,155500,154900,159900,159900,159945,153925.5,149450,159900,149925,147450,155539.2083,,,
Silverhill,AL,Daphne,Baldwin,5401,164900,165000,168565,169000,169000,169000,176950,194500,197000,199000,199450,199900,181022.0833,,,
Spanish Fort,AL,Daphne,Baldwin,4888,280900,292950,299000,291000,289750,288450,299900,295000,289900,284945,284900,283597.5,290024.375,,,
Bettendorf,IA,Davenport,Scott,1427,274849.5,297250,269999.5,279900,319000,328900,312749.5,319450,339900,324400,309900,319900,308016.5417,,,
Coal Valley,IL,Davenport,Rock Island,5682,189900,169900,177450,186950,204900,199900,186450,172450,189450,205000,199900,199900,190179.1667,,,
Davenport,IA,Davenport,Scott,311,119900,119900,122000,125900,125000,132000,129900,129900,122750,125000,124900,126200,125279.1667,,,
East Moline,IL,Davenport,Rock Island,2392,84900,84950,95900,99900,97450,94900,92450,89450,89000,89900,87250,89900,91329.16667,,,
Geneseo,IL,Davenport,Henry,4229,189900,184200,179450,181900,175000,175000,159000,158450,159000,159900,157450,165000,170354.1667,,,
Le Claire,IA,Davenport,Scott,5589,304499.5,284000,299900,319950,319250,327000,333900,344000,336900,329000,329000,329900,321441.625,,,
Moline,IL,Davenport,Rock Island,1020,99000,99000,102000,105000,1.00E+05,99900,104900,109900,109000,109900,109900,109900,104866.6667,,,
Rock Island,IL,Davenport,Rock Island,1208,79900,74900,75000,75000,79900,79900,84200,82000,85000,87950,87200,79900,80904.16667,,,
Beavercreek,OH,Dayton,Greene,1315,169950,174950,179900,185000,185000,187000,194200,184900,189900,189900,184900,185000,184216.6667,,,
Bellbrook,OH,Dayton,Greene,5299,,282450,292450,294900,294900,269900,296000,299900,297950,311995,269900,299945,291844.5455,,,
Centerville,OH,Dayton,Montgomery,2636,174900,166900,174900,186450,192000,196250,209950,224900,238985,239900,224900,239900,205827.9167,,,
Clayton,OH,Dayton,Montgomery,3133,120000,119250,119500,125450,125000,129900,129900,134000,132700,129900,125900,127000,126541.6667,,,
Dayton,OH,Dayton,Montgomery,190,44500,43250,45000,49900,49900,48650,45000,46900,49900,49900,49900,49900,47725,,,
Dayton,TN,Dayton,Rhea,2865,153500,149450,149900,148888,148888,144950,148900,149900,148500,145000,146500,145000,148281.3333,,,
Englewood,OH,Dayton,Montgomery,3882,113900,110925,115000,110000,110950,116000,117700,117500,119450,119450,119900,119900,115889.5833,,,
Fairborn,OH,Dayton,Greene,1370,104500,104900,104900,103400,109000,104900,104900,104900,99900,95450,89900,89350,101333.3333,,,
Huber Heights,OH,Dayton,Montgomery,1341,104800,102950,106000,109900,112900,115900,114850,105000,112875,114000,109950,109900,109918.75,,,
Kettering,OH,Dayton,Montgomery,820,112500,113000,114950,116950,119900,124900,121900,119900,124900,125000,127750,119900,120129.1667,,,
Miamisburg,OH,Dayton,Montgomery,2539,129000,128950,136000,135950,135450,136900,145600,144900,131400,129900,129900,116750,133391.6667,,,
Oakwood,OH,Dayton,Montgomery,4144,212450,225000,236200,249500,278950,288000,299000,334700,319500,299900,279900,245750,272404.1667,,,
Piqua,OH,Dayton,Miami,3031,70975,69900,76900,76900,79900,79950,76400,74900,75600,77900,79500,79012.5,76486.45833,,,
Riverside,OH,Dayton,Montgomery,2203,81950,84400,86500,84900,84900,84900,84900,84900,84900,85000,84900,84900,84754.16667,,,
Shiloh,OH,Dayton,Montgomery,5003,65000,59900,60000,65000,74900,74900,74900,74900,73950,61950,61950,72900,68354.16667,,,
Spring City,TN,Dayton,Rhea,4449,174400,169450,179900,179900,179900,169900,169900,169900,172450,169900,176750,169000,173445.8333,,,
Tipp City,OH,Dayton,Miami,3052,204990,229990,229900,229945,219900,219900,204900,206900,199900,209900,209900,199695,213818.3333,,,
Troy,OH,Dayton,Miami,1480,139950,144900,156000,159900,164900,168000,169900,174675,159900,152249.5,140000,158950,157443.7083,,,
Union,OH,Dayton,Montgomery,6226,99900,104900,107450,105000,1.00E+05,98500,98500,98500,99900,97500,99900,115000,102087.5,,,
Vandalia,OH,Dayton,Montgomery,3521,129900,129900,129900,139900,139900,135900,129900,129900,123650,129400,134900,124900,131504.1667,,,
West Carrollton,OH,Dayton,Montgomery,3774,74950,73900,84950,86000,92000,89900,88450,84950,87450,84900,79900,79900,83937.5,,,
Woodbourne-Hyde Park,OH,Dayton,Montgomery,5491,214900,217050,229900,231450,224900,230000,239499,250000,259900,259900,226450,258950,236908.25,,,
Xenia,OH,Dayton,Greene,1240,145000,144900,149950,148900,149950,144990,144990,130000,129900,145000,134900,154950,143619.1667,,,
Daytona Beach,FL,Daytona Beach,Volusia,647,152325.5,142900,140000,144500,145000,149250,149000,149200,149000,147000,139900,139900,145664.625,,,
Daytona Beach Shores,FL,Daytona Beach,Volusia,6553,329250,319400,319000,312000,310000,314500,329250,349000,329500,319463,334450,329250,324588.5833,,,
Debary,FL,Daytona Beach,Volusia,2534,249900,249900,249950,251500,239950,229900,237450,242500,239900,233500,228925,237500,240906.25,,,
Deland,FL,Daytona Beach,Volusia,753,204995,204950,199948.5,205000,196500,199948.5,209900,199998,209000,209600,209900,220000,205811.6667,,,
Deltona,FL,Daytona Beach,Volusia,543,129900,134900,137450,139900,139900,139900,144900,144900,149000,149000,145000,145450,141683.3333,,,
