RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Albany,OR,Albany,Linn,799,224900,227700,229900,239500,239950,244900,239900,234900,249900,249999,249999.5,249900,240120.7083,,Baltimore,338944.5676
Averill Park,NY,Albany,Rensselaer,5352,249993,249704,244900,234450,249802,244900,239900,234450,249900,236900,247450,244900,243937.4167,,Bangor,146725.7667
Ballston,NY,Albany,Saratoga,4254,349400,349000,351900,344225.5,349900,347500,350900,339900,339900,364400,364900,367900,351652.125,,Baraboo,146264.5833
Bethlehem,NY,Albany,Albany,1840,249900,249900,247000,249900,264900,268375,271000,249900,250000,257450,249900,250000,254852.0833,,Bardstown,157249.9583
Brunswick,NY,Albany,Rensselaer,3495,189900,195900,192200,189900,199900,209900,204900,199450,199900,189900,187500,187500,195570.8333,,Barre,249486.0795
Clifton Park,NY,Albany,Saratoga,1107,339950,339900,329900,331900,329900,319000,314900,299900,301075,295000,299000,324900,318777.0833,,Bartlesville,128525
Cobleskill,NY,Albany,Schoharie,4934,137400,129950,129900,129900,129900,129900,129950,129900,130950,129900,129900,129900,130620.8333,,Bastrop,101337.5
Cohoes,NY,Albany,Albany,2787,164900,166950,169450,159900,159900,152450,152450,159900,167500,169450,169450,168250,163379.1667,,Batavia,91078.95833
East Glenville,NY,Albany,Schenectady,5473,209900,199900,202000,209000,224900,220000,227900,222450,219750,214000,214000,209450,214437.5,,Batesville,152687.5
Gilboa,NY,Albany,Schoharie,6659,149900,149900,149900,149450,169250,177000,177000,160450,142450,152950,149900,137000,155429.1667,,Baton Rouge,223774.0179
Glenville,NY,Albany,Schenectady,2943,205000,199450,209000,204950,205000,209000,2.00E+05,199900,199000,199900,189900,196450,201462.5,,Battle Creek,121349.2639
Guilderland,NY,Albany,Albany,6481,293900,308400,289900,294950,295000,297449,299000,285450,279950,284500,269900,275000,289449.9167,,Bay City,124573.5243
