GeoFips,GeoName,LineCode,Description,2015
11540,"Appleton, WI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,78.7
11540,"Appleton, WI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
11700,"Asheville, NC (Metropolitan Statistical Area)",1,RPPs: All items,93
11700,"Asheville, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,95.7
11700,"Asheville, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,87.7
11700,"Asheville, NC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,RPPs: All items,91.6
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.1
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,80.1
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1,RPPs: All items,96.1
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,98.3
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,92.4
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,96
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,RPPs: All items,105.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,102.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,106
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Other,107.5
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,RPPs: All items,84.7
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,70.1
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,RPPs: All items,88.7
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,  RPPs: Goods,97
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,68.8
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",1,RPPs: All items,99.5
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,115.1
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,RPPs: All items,97.9
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.2
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,93.6
12540,"Bakersfield, CA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.8
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,RPPs: All items,107.5
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,  RPPs: Goods,102.5
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,117.9
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",4,  RPPs: Services: Other,105.3
12620,"Bangor, ME (Metropolitan Statistical Area)",1,RPPs: All items,95.9
12620,"Bangor, ME (Metropolitan Statistical Area)",2,  RPPs: Goods,98
12620,"Bangor, ME (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,89.1
12620,"Bangor, ME (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,RPPs: All items,102.5
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,  RPPs: Goods,98
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,117.3
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,RPPs: All items,92.9
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.3
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85.5
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,RPPs: All items,91.1
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,97.7
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,75.3
12980,"Battle Creek, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
13020,"Bay City, MI (Metropolitan Statistical Area)",1,RPPs: All items,88.6
13020,"Bay City, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,97.7
13020,"Bay City, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,65.6
13020,"Bay City, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
